Title,Image,URL,Date,Label
"HP Android Penuh Tak Perlu Hapus Aplikasi, Ini Solusi Google",https://akcdn.detik.net.id/visual/2021/08/02/infografis-cek-segera-hp-android-ini-tak-bisa-lagi-pakai-google-maps-1_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005084552-37-478023/hp-android-penuh-tak-perlu-hapus-aplikasi-ini-solusi-google,1 hari yang lalu,Tech
"TikTok Shop Ditutup, Seller Bisa Beralih ke E-Commerce",https://akcdn.detik.net.id/visual/2023/10/05/ilustrasi-ecommerce-1_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005084543-37-478022/tiktok-shop-ditutup-seller-bisa-beralih-ke-e-commerce,1 hari yang lalu,Tech
"TikTok Bawa Bos China Pindah ke Amerika, Joe Biden Waswas",https://akcdn.detik.net.id/visual/2021/02/10/tiktok-9_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004151730-37-477872/tiktok-bawa-bos-china-pindah-ke-amerika-joe-biden-waswas,1 hari yang lalu,Tech
"Depok Silicon Valley Indonesia, Ini Alasan Bukan Kota Lain",https://akcdn.detik.net.id/visual/2022/11/25/sejumlah-kendara-bermotor-melintas-di-trotoar-di-kawasan-margonda-depok-jawa-barat-jumat-2511-pelebaran-trotoar-di-jalan-margo-8_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005065210-37-477986/depok-silicon-valley-indonesia-ini-alasan-bukan-kota-lain,1 hari yang lalu,Tech
"Modal Triliun Rupiah dari Jeff Bezos Cs, Startup RI Tutup",https://akcdn.detik.net.id/visual/2023/03/09/tsunami-phk-startup-gaji-software-engineer-ri-anjlok_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005063043-37-477982/modal-triliun-rupiah-dari-jeff-bezos-cs-startup-ri-tutup,1 hari yang lalu,Tech
"Daftar 288 Pinjol Ilegal Terbaru OJK, Berani Pinjam Boncos",https://akcdn.detik.net.id/visual/2021/06/22/infografis-catat-tips-terhindar-dari-jebakan-kubangan-pinjol-ilegal-1_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231005065303-37-477987/daftar-288-pinjol-ilegal-terbaru-ojk-berani-pinjam-boncos,1 hari yang lalu,Tech
"TikTok Shop Ditutup, Pedagang Curhat Bayar Iklan Rp 10 Juta",https://akcdn.detik.net.id/visual/2023/10/04/karyawan-melihat-produk-yang-dijual-melalui-tiktok-shop-di-jakarta-rabu-4102023-cnbc-indonesiafaisal-rahman-2_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004185639-37-477957/tiktok-shop-ditutup-pedagang-curhat-bayar-iklan-rp-10-juta,1 hari yang lalu,Tech
"TikTok Shop Ditutup, Elon Musk Baru Mau Jualan di X-Twitter",https://akcdn.detik.net.id/visual/2023/10/04/seorang-pekerja-melihat-berbagai-produk-secara-langsung-di-tiktokshop-4_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004123812-37-477776/tiktok-shop-ditutup-elon-musk-baru-mau-jualan-di-x-twitter,1 hari yang lalu,Tech
"Xi Jinping Blokir Aplikasi Amerika, Apple Lakukan Ini",https://akcdn.detik.net.id/visual/2018/03/23/02da4f4f-12cd-48ad-99f6-b26695c7222c_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004162355-37-477897/xi-jinping-blokir-aplikasi-amerika-apple-lakukan-ini,1 hari yang lalu,Tech
Taktik Baru Google Blokir Penipu dan Spam dari Gmail,https://akcdn.detik.net.id/visual/2018/04/16/60b490b0-d22a-4949-bbd6-e1bd3c11e2e4_43.jpeg?w=152&q=90,https://www.cnbcindonesia.com/tech/20231004155321-37-477890/taktik-baru-google-blokir-penipu-dan-spam-dari-gmail,1 hari yang lalu,Tech
